,Temprature,Smoke_8m_above_ground,Vertically Integrated Smoke,Dew Point,Wind Speed,Relative Humidity,Specific Humidity,Downward Long-Wave Rad. Flux,Downward Short-Wave Rad. Flux,Ground Heat Flux,Wind Gust ,Height of the Level of Free Convection,Upward Long-Wave Rad. Flux ,Upward Short-Wave Rad. Flux
2024-01-01 00:00:00,276.25,0.0,2.384185791015625e-07,272.25,1.376953125,67.8125,0.004119873046875,234.375,0.0,50.0,1.92578125,1294.0,290.25,0.0
2024-01-01 01:00:00,273.25,0.0,2.980232238769531e-07,272.0,1.1884765625,75.375,0.003978729248046875,230.75,0.0,60.0,1.3232421875,1294.0,278.75,0.0
2024-01-01 02:00:00,272.0,0.0,2.980232238769531e-07,271.25,1.314453125,82.125,0.0037899017333984375,228.125,-10000.0,60.0,1.6162109375,1294.0,273.0,-10000.0
2024-01-01 03:00:00,271.5,0.0,2.980232238769531e-07,271.25,1.3154296875,90.3125,0.0037994384765625,226.0,-10000.0,50.0,1.8603515625,1294.0,271.0,-10000.0
2024-01-01 04:00:00,271.25,0.0,2.980232238769531e-07,271.25,1.376953125,91.8125,0.0037899017333984375,225.25,-10000.0,60.0,1.322265625,1294.0,270.5,-10000.0
2024-01-01 05:00:00,270.25,0.0,3.5762786865234375e-07,270.25,0.1893310546875,87.875,0.0035305023193359375,224.375,-10000.0,60.0,0.8515625,1294.0,266.25,-10000.0
2024-01-01 06:00:00,269.75,0.0,4.172325134277344e-07,269.5,0.81494140625,85.625,0.00334930419921875,223.5,-10000.0,60.0,0.9208984375,1294.0,263.75,-10000.0
2024-01-01 07:00:00,269.0,0.0,4.172325134277344e-07,269.25,0.9384765625,86.3125,0.0032901763916015625,222.125,-10000.0,60.0,0.97509765625,1294.0,261.5,-10000.0
2024-01-01 08:00:00,269.25,0.0,5.364418029785156e-07,269.0,2.876953125,84.5,0.0032100677490234375,220.875,-10000.0,60.0,2.89453125,1294.0,262.0,-10000.0
2024-01-01 09:00:00,269.0,0.0,9.5367431640625e-07,268.5,2.064453125,89.8125,0.0031108856201171875,219.0,-10000.0,60.0,2.90625,1294.0,261.25,-10000.0
2024-01-01 10:00:00,268.75,0.0,1.0728836059570312e-06,268.5,1.001953125,92.0,0.003070831298828125,224.75,-10000.0,50.0,1.23828125,1294.0,260.25,-10000.0
2024-01-01 11:00:00,268.5,0.0,1.0728836059570312e-06,268.25,1.126953125,89.6875,0.0030002593994140625,219.25,-10000.0,50.0,1.4873046875,1294.0,259.25,-10000.0
