,Temprature,Smoke_8m_above_ground,Vertically Integrated Smoke,Dew Point,Wind Speed,Relative Humidity,Specific Humidity,Downward Long-Wave Rad. Flux,Downward Short-Wave Rad. Flux,Ground Heat Flux,Wind Gust ,Height of the Level of Free Convection,Upward Long-Wave Rad. Flux ,Upward Short-Wave Rad. Flux
2020-12-02 12:00:00,266,0.07000732421875,1.19209289550781E-07,265.5,0.689453125,76.625,0.0024394989013671,206.75,0,70,0.888671875,1294,249.375,0
2020-12-02 13:00:00,265.25,0.072021484375,1.19209289550781E-07,265,0.8134765625,76.625,0.0023403167724609,206.25,0,60,1.6201171875,1294,246.875,0
2020-12-02 14:00:00,265.5,0.073974609375,1.19209289550781E-07,265,1.7529296875,76.5,0.002359390258789,208.25,0,70,1.994140625,1294,248.125,0
2020-12-02 15:00:00,265.75,0.0780029296875,1.19209289550781E-07,265.25,2.064453125,80,0.002359390258789,205.25,35.90625,40,2.791015625,1294,249.25,8.25
2020-12-02 16:00:00,270,0.0780029296875,1.19209289550781E-07,266.75,0.630859375,82.125,0.0026397705078125,203.25,198.375,-40,2.75,1294,265.5,42.625
2020-12-02 17:00:00,275.25,0.08197021484375,5.96046447753906E-08,268.5,3.189453125,71.875,0.0030403137207031,205.125,345.75,-50,4.41015625,1294,286.5,70.625
2020-12-02 18:00:00,278.75,0.048004150390625,5.96046447753906E-08,262.75,1.6923828125,37.90625,0.0019502639770507,206.75,451,-70,6.72265625,1294,301,89.125
2020-12-02 19:00:00,280,0.048004150390625,5.96046447753906E-08,263.5,2.44140625,37.40625,0.0020599365234375,208.5,499,-40,8.4765625,1294,306.75,97.375
2020-12-02 20:00:00,281,0.032012939453125,5.96046447753906E-08,260,1.3798828125,26.5,0.0015497207641601,206.375,489,-40,3.63671875,1294,311.5,96
2020-12-02 21:00:00,281.5,0.0200042724609375,1.19209289550781E-07,261,1.314453125,28.796875,0.0017099380493164,208.875,414,-40,4.484375,1294,313,83.375
2020-12-02 22:00:00,280.25,0.040008544921875,4.17232513427734E-07,260.75,2.193359375,27.703125,0.0016803741455078,212.75,286.25,0,3.580078125,1294,307.75,60.375
2020-12-02 23:00:00,277.5,0.040008544921875,2.08616256713867E-06,263.75,3.31640625,36.3125,0.0020999908447265,216.25,123.3125,50,4.15625,1294,296.25,27.75
2020-12-03 00:00:00,274,0.040008544921875,3.1590461730957E-06,264.5,2.193359375,43.09375,0.0022506713867187,213.875,0,70,4.58984375,1294,281.5,0
2020-12-03 01:00:00,272.25,0.040008544921875,3.75509262084961E-06,264.25,2.25390625,47,0.0021991729736328,210.75,0,50,3.1796875,1294,274.25,0
2020-12-03 02:00:00,271,0.040008544921875,2.5629997253418E-06,262.75,0.75341796875,42.3125,0.0019397735595703,208,-10000,50,0.76513671875,1294,269,-10000
2020-12-03 03:00:00,269.25,0.048004150390625,1.66893005371094E-06,261,2.751953125,38.59375,0.0016803741455078,206.25,-10000,30,3.171875,1294,262.25,-10000
2020-12-03 04:00:00,266.5,0.10400390625,1.31130218505859E-06,262,1.6904296875,47.6875,0.0018501281738281,202.375,-10000,50,1.7275390625,1294,252,-10000
2020-12-03 05:00:00,266,0.1300048828125,9.5367431640625E-07,261.75,0.8798828125,48.90625,0.0017995834350585,201.75,-10000,60,1.4921875,1294,249.375,-10000
2020-12-03 06:00:00,266,0.118408203125,4.17232513427734E-07,262.25,1.376953125,52.59375,0.0018997192382812,201.375,-10000,90,1.53515625,1294,249.875,-10000
2020-12-03 07:00:00,266,0.0751953125,2.38418579101562E-07,262.5,1.126953125,53.8125,0.0019102096557617,202.625,-10000,70,2.748046875,1294,249.375,-10000
2020-12-03 08:00:00,265.75,0.107177734375,1.78813934326172E-07,263,2.00390625,63.5,0.0019893646240234,198.25,-10000,70,2.02734375,1294,248.625,-10000
2020-12-03 09:00:00,265.75,0.10400390625,1.19209289550781E-07,261.75,1.6904296875,60.40625,0.001810073852539,198.5,-10000,70,1.7373046875,1294,249,-10000
2020-12-03 10:00:00,266,0.1407470703125,1.19209289550781E-07,261.25,3.439453125,60.59375,0.0017499923706054,197.375,-10000,60,4.109375,1294,249.5,-10000
2020-12-03 11:00:00,265.75,0.2271728515625,1.19209289550781E-07,261.75,2.939453125,65.875,0.001810073852539,195.875,-10000,40,3.158203125,1294,248.75,-10000
2020-12-03 12:00:00,265,0.348876953125,1.78813934326172E-07,262,2.689453125,72.375,0.0018301010131835,193,0,50,3.46875,1294,246.125,0
2020-12-03 13:00:00,263.75,0.251220703125,1.78813934326172E-07,262.5,2.314453125,69.625,0.0019102096557617,195.375,0,70,2.984375,1294,241.875,0
2020-12-03 14:00:00,263.75,0.2271728515625,1.78813934326172E-07,261.5,3.3125,64.5,0.0017595291137695,194.75,0,60,3.4765625,1294,241.5,0
2020-12-03 15:00:00,264,0.36962890625,2.38418579101562E-07,261.25,2.626953125,71.1875,0.0017204284667968,192.75,36.3125,40,4.17578125,1294,242.125,8.375
2020-12-03 16:00:00,268,0.303955078125,2.38418579101562E-07,262.75,2.375,67.125,0.0019502639770507,193.875,198.75,-30,5.1796875,1294,257.5,42.75
2020-12-03 17:00:00,273.75,0.35205078125,1.78813934326172E-07,261.75,2.19140625,50,0.0018196105957031,197.25,346.5,-70,2.982421875,1294,280.25,70.875
2020-12-03 18:00:00,278.25,0.33203125,1.78813934326172E-07,261.5,1.00390625,41.1875,0.001779556274414,200,450.75,-90,1.4580078125,1294,298.5,89.25
2020-12-03 19:00:00,280.5,0.303955078125,1.78813934326172E-07,262.5,1.1884765625,39.09375,0.0018997192382812,203.375,498,-70,1.3193359375,1294,308.5,97.3125
2020-12-03 20:00:00,281.5,0.239990234375,1.78813934326172E-07,262,1.251953125,35.6875,0.0018596649169921,207.125,483.75,-50,1.271484375,1294,313.75,95.125
2020-12-03 21:00:00,281.25,0.1600341796875,1.78813934326172E-07,262.25,1.939453125,35.1875,0.0018997192382812,208.875,410.5,-40,2.169921875,1294,312,82.875
2020-12-03 22:00:00,279.75,0.08001708984375,1.19209289550781E-07,264.25,2.443359375,39.90625,0.0021896362304687,212.25,278.25,-10,2.998046875,1294,305.5,58.75
2020-12-03 23:00:00,277.5,0.08001708984375,1.19209289550781E-07,262.25,3.00390625,35,0.0018701553344726,209.5,124,10,3.751953125,1294,296.25,27.875
2020-12-04 00:00:00,273.5,0.08001708984375,1.19209289550781E-07,263.25,2.4375,41.5,0.0020503997802734,206.375,0,80,4.109375,1294,279.25,0
2020-12-04 01:00:00,271.75,0.05999755859375,5.96046447753906E-08,264,2.126953125,49.3125,0.0021800994873046,205.25,0,70,3.73828125,1294,272.25,0
2020-12-04 02:00:00,270.5,0.048004150390625,1.19209289550781E-07,263.75,1.4375,55.1875,0.0021190643310546,205.625,-10000,60,2.27734375,1294,267,-10000
